Site,Last seen,Available,is italian?,Comments,Screenshot,SECTOR ATTACKED,ATTACK GOAL
https://nh.kilueow5.sa.com/webro-DPD-express/,2025-02-03 11:14:16,S,s,Corriere PDP (traking),33.png,SHIPPING/LOGISTICS,BANKING DATA THEFT
https://www.naomevenhacomdesculpa.com/digilommpi/bnb/access/account/lo...,2025-02-03 11:14:59,S,s,HYPE (verifica dati),34.png,BANKING/FINANCE,ACCOUNT THEFT
http://3-66-29-116.cprapid.com/app/update.php?jmgwl63neyep36pbrxl7...,2025-02-03 11:18:10,S,s,Corriere PDP,35.png,SHIPPING/LOGISTICS,BANKING DATA THEFT
https://gtm.you1.cn/storesteamlogin/?redir=explore%2F&redir_ssl=1,2025-02-04 08:24:20,s,s,STEAM(Accedi),36.png,ENTERTAINMENT,ACCOUNT THEFT
https://bancasella-recapiti.com/,2025-02-04 08:24:50,S,s,Banca Sella (accesso area clienti,37.png,BANKING/FINANCE,ACCOUNT THEFT
http://extensionwebstore-kyc.ddnss.eu/FMfcgzGtxSvtnDMJWSGhxLTztxLkJkMW/FMfcgzGtxSxDgR/d1350/,2025-02-04 08:26:58,S,s,METAMASK (wallet: conferma la frase di recupero ),38.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
https://chateaudelagaude.com/ssv/lib/,2025-02-05 12:56:58,S,s,LIBERO (accedi),39.png,EMAIL SERVICES,ACCOUNT THEFT
https://ln.run/JX6hw,2025-02-05 12:57:34,S,s,LIBERO (accedi) reindirizza a https://chateaudelagaude.com/ssv/lib/,40.png,EMAIL SERVICES,ACCOUNT THEFT
https://jzebra.com/wp-admin/css/colors/blue/comslery?ALQ2thSc1l=,2025-02-05 14:31:05,S,s,LEROYMERLIN (sondaggio premio) reindirizza a https://theofferconnect.com/dxtdrl/?encoded_value=2XTWHL1&sub1=2138&sub2=b7d72e3f3d1a40ada65f3be189a97a13,41.png,EMAIL SERVICES,ACCOUNT THEFT
http://saisanthoshi11.github.io/Netflix-Replica,2025-02-05 14:31:07,S,s,NETFLIX (login),42.png,ENTERTAINMENT,ACCOUNT THEFT
https://grupostosberg.pt/elementos/css/primsion?GbbZz1AIEc=/,2025-02-05 14:33:00,S,s,LEROYMERLIN (sondaggio premio) reindirizza a https://theofferconnect.com/dxtdrl/?encoded_value=2XTWHL1&sub1=2138&sub2=b7d72e3f3d1a40ada65f3be189a97a13,43.png,E-COMMERCE,BANKING DATA THEFT
https://uupdaateoonlinenow.freewebhostmost.com/dd/,2025-02-10 14:04:32,S,s,DHL(conferma pagamento per completare la consegna),44.png,SHIPPING/LOGISTICS,BANKING DATA THEFT
https://yu3.io/ke0s5h,2025-02-10 14:05:08,S,s,DHL(conferma pagamento per completare la consegna) reindirizza a https://uupdaateoonlinenow.freewebhostmost.com/dd/tracking/fV5EjH/msg.php?id=98271843,45.png,SHIPPING/LOGISTICS,BANKING DATA THEFT
https://uupdaateoonlinenow.freewebhostmost.com/dd/tracking/?pwd=dhl,2025-02-10 14:05:12,S,s,DHL(conferma pagamento per completare la consegna),46.png,SHIPPING/LOGISTICS,BANKING DATA THEFT
https://uupdaateoonlinenow.freewebhostmost.com/dd/tracking/fV5EjH/msg.php?id=66919896,2025-02-10 14:05:47,S,s,DHL(conferma pagamento per completare la consegna),47.png,SHIPPING/LOGISTICS,BANKING DATA THEFT
https://urlz.fr/u18A,2025-02-10 14:08:52,S,s,DHL (conferma pagamanto) reindirizza https://uupdaateoonlinenow.freewebhostmost.com/dd/tracking/fV5EjH/msg.php?id=16132364,48.png,SHIPPING/LOGISTICS,BANKING DATA THEFT
https://api.yu3.io/ke0s5h,2025-02-10 14:09:16,S,s,DHL (conferma pagamanto) reindirizza https://uupdaateoonlinenow.freewebhostmost.com/dd/tracking/fV5EjH/msg.php?id=2077087,49.png,SHIPPING/LOGISTICS,BANKING DATA THEFT
http://marketprotect-support.click/,2025-02-11 08:08:16,S,s,Facebook(accesso account limitato),50.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
https://d2y831vc2ydhlg.cloudfront.net,2025-02-11 08:26:31,S,s,BANCA CREDIT AGRICOLE (login) reindirizza : https://nowbanking.credit-agricole.it.authcone.com/wp-includes/pomo/euisa/az/,51.png,BANKING/FINANCE,ACCOUNT THEFT
https://biling-ntflix.com/how/calcul.php,2025-02-12 06:33:44,S,s,NETFLIX (recptcha),52.png,ENTERTAINMENT,ACCOUNT THEFT
https://renovacao-netflix.info/how/calcul.php,2025-02-12 06:45:59,S,s,NETFLIX (recptcha),53.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
https://smithjamessv328.wixsite.com/so/bfPECio9v?languageTag=vi&cid=93292e47-e9d2-4cf6-aafd-b73081a38b62,2025-02-12 15:02:34,S,s,FACEBOOK (account criptato),54.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
http://tg.dd.free.hr/,2025-02-12 15:02:39,S,s,TELEGRAM DESKTOP,55.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
https://tg.dd.free.hr/#/login,2025-02-13 08:31:10,S,s,TELEGRAM DESKTOP,56.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
http://netflixgpt-theta.vercel.app,2025-02-13 08:35:03,S,s,NETFLIX (recptcha),57.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
http://www.app-antiriciclaggio-mps.com/,2025-02-13 13:53:21,S,s,MPS (login),58.png,BANKING/FINANCE,ACCOUNT THEFT
http://bafybeibiqqsv6nojor2kdirpukl4h6f44erjheo2r7fzbq2wvpg5akvd44.ipfs.dweb.link/,2025-02-13 13:55:10,S,s,CRIPTOVALUTE(scambio),59.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
https://telegrams-k.com/dist/,2025-02-14 08:38:59,S,s,TELEGRAM ( accedi),60.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
https://telegrams-e.com/dist/,2025-02-14 08:39:05,S,s,TELEGRAM ( accedi),61.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
https://cilwloet.wiki,2025-02-14 08:39:08,S,s,TELEGRAM ( accedi),62.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
https://telegrams-d.com/dist/,2025-02-14 08:39:08,S,s,TELEGRAM ( accedi),63.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
http://telegrams-q.com/,2025-02-14 08:39:39,S,s,TELEGRAM ( accedi),64.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
https://telegrams-g.com/dist/,2025-02-14 08:39:43,S,s,TELEGRAM ( accedi),65.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
https://webwebapp.top/,2025-02-14 08:40:15,S,s,TELEGRAM ( accedi),66.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
https://telegrams-j.com/dist/,2025-02-14 08:40:26,S,s,TELEGRAM ( accedi),67.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
https://jkxlphzfrqvwm.top/,2025-02-14 08:40:29,S,s,TELEGRAM ( accedi),68.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
https://telegrams-i.com/dist/,2025-02-14 08:40:42,S,s,TELEGRAM ( accedi),69.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
https://telegrams-v.com/dist/,2025-02-14 08:40:59,S,s,TELEGRAM ( accedi),70.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
https://telegrams-b.com/dist/,2025-02-14 08:41:23,S,s,TELEGRAM ( accedi),71.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
https://payements-netflix.com/how/calcul.php,2025-02-14 08:41:28,S,s,NETFLIX (recptcha),72.png,ENTERTAINMENT,ACCOUNT THEFT
https://cs2-progameclub.shop/dw8r11sy9xxy.html,2025-02-14 15:50:32,S,s,STEAM (accedi),73.png,ENTERTAINMENT,ACCOUNT THEFT
http://gtm-cn-3mp3qqvk502.steamproxy.cc/,2025-02-14 15:51:35,S,s,STEAM(ACCEDI),74.png,ENTERTAINMENT,ACCOUNT THEFT
https://extensionwebstore-kyc.ddnss.eu/FMfcgzGtxSvtnDMJWSGhxLTztxLkJkMW/FMfcgzGtxSxDgR/ab14d,2025-02-14 15:51:43,S,s,METAMASK (conferma frase di recupero segreta ),75.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
https://dlnbqsrjgxvkm.ink/,2025-02-14 15:51:47,S,s,TELEGRAM (accedi),76.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
https://teleqrma.ink/,2025-02-14 15:51:48,S,s,TELEGRAM (accedi),77.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
https://ukocnbqqvq.ink/,2025-02-14 15:51:57,S,s,TELEGRAM (accedi),78.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
http://support-learn-trezor.webflow.io/,2025-02-14 15:53:31,S,s,TELEGRAM (reindirizza https://dlnbqsrjgxvkm.ink) accedi,79.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
http://ssso--ndax--auth-cdn.webflow.io/,2025-02-14 15:53:31,S,s,TELEGRAM(reindirizza https://teleqrma.ink/k/) acedi,80.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
https://xzjmtzs.com/,2025-02-14 15:53:31,S,s,TELEGRAM (reindirizza https://ukocnbqqvq.ink ) accedi,81.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
https://extensionwebstore-kyc.ddnss.eu/FMfcgzGtxSvtnDMJWSGhxLTztxLkJkMW/FMfcgzGtxSxDgR/31e7f,2025-02-14 15:53:53,S,s,METAMASK (conferma frase di recupero segreta ),82.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
http://usernames.vercel.app/,2025-02-14 15:54:57,S,s,TELEGRAM (accedi),83.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
https://login-press-apple.dmlib.pro,2025-02-17 10:07:15,S,s,ACCEDI AD APPLE TV +,84.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
https://2h.ae/DkCf,2025-02-17 14:00:05,S,s,POSTE ITALIANE (pianificare consegna) reindirizza a questo https://postitaliane-info.help/i/,85.png,SHIPPING/LOGISTICS,BANKING DATA THEFT
http://info.retour.18-156-84-232.cprapid.com/app/payment.php?dcn9jl8hfk5ziv9t5xl3,2025-02-17 14:00:05,S,s,DPD CORRIERE ESPERESSO(richiesta pagamento con carta ),86.png,SHIPPING/LOGISTICS,BANKING DATA THEFT
https://postitaliane-info.help/i/,2025-02-17 14:00:05,S,s,(POSTE ITALIANE ) variazione indirizzo,87.png,BANKING/FINANCE,BANKING DATA THEFT
https://colis.retour.52-59-252-124.cprapid.com/info,2025-02-17 14:00:05,S,s,DPD ( pianifica nuova consegna),88.png,SHIPPING/LOGISTICS,BANKING DATA THEFT
https://info.retour.18-156-84-232.cprapid.com/app/update.php?91ykpd7m9,2025-02-17 14:00:05,S,s,DPD ( pianifica nuova consegna),89.png,SHIPPING/LOGISTICS,BANKING DATA THEFT
https://casenaps.com/mq4e4cm84x3z.html,2025-02-18 11:35:05,S,s,STEAM (accedi),90.png,ENTERTAINMENT,ACCOUNT THEFT
https://xfacepunch.org/a81b1265267616ea7376_xref-auth,2025-02-18 11:35:05,S,s,STEAM (accedi),91.png,ENTERTAINMENT,ACCOUNT THEFT
https://odp.hdcloud.us.kg/,2025-02-18 11:35:05,S,s,MICROSOFT (ACCEDI),92.png,EMAIL SERVICES,ACCOUNT THEFT
https://esl-sk.com/9f4f8l785wb9.html,2025-02-20 09:29:15,S,s,STEAM (accedi),93.png,ENTERTAINMENT,ACCOUNT THEFT
https://teleqrma.top/k/,2025-02-20 09:29:25,S,s,TELEGRAM (accedi),94.png,DIGITAL/TECHNOLOGY,ACCOUNT THEFT
https://spedizione-mastercard-bnl.com,2025-02-21 16:52:08,S,s,BNL (CONFERMA RINNOVO CARTA),95.png,BANKING/FINANCE,BANKING DATA THEFT
https://nexiglobal.com/infos/team/,2025-02-20 16:52:11,S,s,BANCA SELLA (inserimento dati carta ),96.png,BANKING/FINANCE,BANKING DATA THEFT
https://mail.mingrad.ru/cookieauth.dll?getlogon?curl=z2f&formdir=1&reason=0,2025-02-21 09:08:52,S,s,OUTLOOK WEBAPP(login),97.png,EMAIL SERVICES,ACCOUNT THEFT
http://steam.bywg.vip/,2025-02-21 09:09:37,S,s,STEAM (accedi),98.png,ENTERTAINMENT,ACCOUNT THEFT
http://steam.bywg.vip,2025-02-21 09:12:03,S,s,STEAM (accedi),99.png,ENTERTAINMENT,ACCOUNT THEFT
http://bafybeiheu4az5ymdraneuxsvbwsedbsxvyufdqqrxrlnl2dlujrfmvaxam.ipfs.dweb.link/,2025-02-21 13:50:41,S,s,NTF (scambia criptovalutr),100.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
https://bafybeickyem7qf4vd2ujvpahu2jeb2snj5sccgfnafuejd4ejpjuzrm7aq.ipfs.dweb.link/,2025-02-21 13:51:11,S,s,NTF (scambia criptovalutr),101.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
https://spedizione-mastercard-bnl.com,2025-02-21 16:52:08,S,s,BNL (conferma rinnovo carta),102.png,BANKING/FINANCE,BANKING DATA THEFT
http://www.spedizione-mastercard-bnl.com/completato2.html,2025-02-21 13:52:42,S,s,BNL (emissione carta),103.png,BANKING/FINANCE,BANKING DATA THEFT
http://interface-beta-eight.vercel.app/,2025-02-21 13:53:18,S,s,NFT (scambia cripto),104.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
https://extensionwebstore-kyc.ddnss.eu/FMfcgzGtxSvtnDMJWSGhxLTztxLkJkMW/FMfcgzGtxSxDgR/a1683,2025-02-24 09:18:17,S,s,METAMASK (conferma recupero frase segreta),105.png,SHIPPING/LOGISTICS,BANKING DATA THEFT
http://mardanpazarlama.com/shipment,2025-02-24 09:18:17,S,s,DHL(pagamento dazi doganali),106.png,SHIPPING/LOGISTICS,BANKING DATA THEFT
https://intesa-san-paolo-ban.ca,2025-02-24 09:18:17,S,s,INTESA SANPAOLO,107.png,BANKING/FINANCE,BANKING DATA THEFT
https://113-30-189-125.cprapid.com/Online.banking-mobile.APP/,2025-02-24 14:24:29,S,s,INTESA SANPAOLO,108.png,BANKING/FINANCE,BANKING DATA THEFT
https://113-30-189-125.cprapid.com/Online.banking-mobile.APP,2025-02-24 14:26:55,S,s,INTESA SANPAOLO (login),109.png,BANKING/FINANCE,BANKING DATA THEFT
http://caitalia.com/,2025-02-24 14:28:34,S,s,CREDIT AGRICOLE BANC (accedi per certificare il tuo recapito ),110.png,BANKING/FINANCE,BANKING DATA THEFT
https://netfllx-help.com/how/calcul.php,2025-02-24 17:27:57,S,s,NETFLIX reCAPTCHA,111.png,ENTERTAINMENT,ACCOUNT THEFT
https://filiale-25.195-66-210-138.cprapid.com/int,2025-02-25 09:24:06,S,s,INTESA SANPAOLO (conferma identità),112.png,BANKING/FINANCE,BANKING DATA THEFT
https://yamu.pro/redirting,2025-02-26 10:41:14,S,s,ARUBA (verifa account) reindirizza a https://prendetufiesta.com/wp-content/plugins/swebmail.aruba.it/confermare.aruba_mailbox/user.myaccount.aruba.main.sign_id/aruba.it/sme/cs/account.htm,113.png,EMAIL SERVICES,ACCOUNT THEFT
http://o4.kijjioh6.sa.com,2025-02-26 10:41:14,S,s,BNL(inserire pin carta scadenza),114.png,BANKING/FINANCE,BANKING DATA THEFT
http://mqsiiui.com/,2025-02-26 10:41:14,S,s,BANCA SELLA (Abbiamo verificato degli accessi insoliti al tuo conto. Accedi per attivare la procedura di sicurezza),115.png,BANKING/FINANCE,BANKING DATA THEFT
https://runcsgo.com/ilpp6yuifmej.html,2025-02-26 14:03:01,S,s,STEAM (accedi),116.png,ENTERTAINMENT,ACCOUNT THEFT
http://mqsiiui.com,2025-02-26 14:03:02,S,s,BANCA SELLA (accedi per attivare la procedura di sicurezza),117.png,BANKING/FINANCE,ACCOUNT THEFT
https://coinbase-airdrop-claims.vercel.app,2025-02-27 15:24:21,S,s,Coinbase Wallet (inserisci indirizzo del portafoglio BTC),118.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
https://contratto-bnl.com,2025-02-27 15:24:21,S,s,BNL (Inserisci Codice PIN della tua carta Bancomat/Maestro per confermare l'emissione della nuova Carta di Debito Mastercard BNL),119.png,BANKING/FINANCE,BANKING DATA THEFT
https://card-bnl.com,2025-02-27 15:24:22,S,s,BNL (Inserisci Codice PIN della tua carta Bancomat/Maestro per confermare l'emissione della nuova Carta di Debito Mastercard BNL),120.png,BANKING/FINANCE,BANKING DATA THEFT
https://card-bnl.com,2025-02-27 15:24:22,S,s,BNL (Inserisci Codice PIN della tua carta Bancomat/Maestro per confermare l'emissione della nuova Carta di Debito Mastercard BNL),121.png,BANKING/FINANCE,BANKING DATA THEFT
http://payment.smbstaging.enterprisedeliveries.com/id_h4t50hc8gz/cf8654/5551b586-112b-48ce-9894-9163c4cd9ae8/,2025-02-27 14:03:58,S,s,DHL (Aaccedi),122.png,SHIPPING/LOGISTICS,BANKING DATA THEFT
http://payment.smbstaging.enterprisedeliveries.com/id_h4t50hc8gz/cf8653/5551b586-112b-48ce-9894-9163c4cd9ae8/,2025-02-27 14:03:58,S,s,DHL (Aaccedi),123.png,SHIPPING/LOGISTICS,BANKING DATA THEFT
https://emissione-mastercard-bnl.com/,2025-02-27 14:04:02,S,s,BNL (Inserisci Codice PIN della tua carta Bancomat/Maestro per confermare l'emissione della nuova Carta di Debito Mastercard BNL),124.png,BANKING/FINANCE,BANKING DATA THEFT
http://bafybeiaojhskjkwp2cbsehkj7fm4cfv6pjsapflwz5eebreopupzbuna6q.ipfs.dweb.link/,2025-02-27 14:04:07,S,s,UNISSWAP (scambia cripto),125.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
https://caseteio.com/mq4e4cm84x3z.html,2025-02-28 09:39:59,S,s,STEAM (accedi),126.png,ENTERTAINMENT,ACCOUNT THEFT
https://esl-sk.com/oru989od0wl1.html,2025-02-28 09:47:30,S,s,STEAM(accedi),127.png,ENTERTAINMENT,ACCOUNT THEFT
http://mastercardcontratto-bnl.com/,2025-02-28 13:24:42,S,s,BNL(nserisci Codice PIN della tua carta Bancomat/Maestro per confermare l'emissione della nuova Carta di Debito Mastercard BNL),128.png,BANKING/FINANCE,BANKING DATA THEFT
https://casual-matchmaking.pro/v3kvqrgek98o.html,2025-03-03 08:41:19,S,s,STEAM (accedi),129.png,ENTERTAINMENT,ACCOUNT THEFT
https://jacrecycling.ypdigital.co.za/it/area-riservata/pubblica/login,2025-03-04 07:13:14,S,s,INTESA SANPAOLO (accedi),130.png,BANKING/FINANCE,BANKING DATA THEFT
https://encryptolink.work.gd/?&/#authflow/entry/?stepupContext=7583920146573829102&returnUri=%2Fauth%2Freturn&flowId=xy&flowContext=login&country.x=FR&locale.x=fr_FR&pushNotificationDisabled=true,2025-03-04 07:13:21,S,s,PAYPAL(accedi),131.png,BANKING/FINANCE,BANKING DATA THEFT
https://netflix.appsign.in/how/calcul.php,2025-03-04 07:14:30,S,s,NETFLIX reCAPTCHA,132.png,ENTERTAINMENT,ACCOUNT THEFT
https://3-67-185-197.cprapid.com/app/update.php?zrymslmwtg35izxbbt7c...,2025-03-04 12:10:24,S,s,DPD BARTOLINI (segui il mio pacchetto),133.png,SHIPPING/LOGISTICS,BANKING DATA THEFT
https://3-67-185-197.cprapid.com/app,2025-03-04 12:10:37,S,s,DPD BARTOLINI (segui il mio pacchetto),134.png,SHIPPING/LOGISTICS,BANKING DATA THEFT
https://sp.zhabite.com,2025-03-04 13:29:12,S,s,STEAM (accedi),135.png,ENTERTAINMENT,ACCOUNT THEFT
https://feedonomicsai.com/login,2025-03-04 18:10:30,S,s,FEEDONOMICS (accedi) piattaforma e-commerce,136.png,E-COMMERCE,DATA THEFT
http://steampowered.invite918420.com/dg6jdtpq094y.html,2025-03-05 07:21:14,S,s,STEAM (accedi),137.png,ENTERTAINMENT,ACCOUNT THEFT
https://netflix-secure-payment.com/how/calcul.php,2025-03-05 07:21:39,S,s,NETFLIX reCAPTCHA,138.png,ENTERTAINMENT,ACCOUNT THEFT
http://p9ps11.com/,2025-03-05 13:34:26,S,s,PEPSI BINANCE (Finta partnership accesso ),139.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
http://p8ps1.com/,2025-03-05 13:34:34,S,s,PEPSI BINANCE (Finta partnership accesso ),140.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
http://p8ps1.com,2025-03-05 14:58:56,S,s,PEPSI BINANCE (Finta partnership accesso ),141.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
http://p9ps11.com,2025-03-05 14:58:58,S,s,PEPSI BINANCE (Finta partnership accesso ),142.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
https://liefrung.neu.planen.18-153-95-135.cprapid.com/app/update.php?bigbserl95d5l646ik9m,2025-03-06 14:09:02,S,s,"DPD ,compagnia postale francese.(segui il mio pacchetto)",143.png,SHIPPING/LOGISTICS,BANKING DATA THEFT
http://mail1-accedi-libero-staff-it-italy-sslitaly423429kf923kc092kc.casajasmine.ro/,2025-03-07 08:59:09,S,s,LIBERO(login),144.png,EMAIL SERVICES,ACCOUNT THEFT
https://metroagmall.com,2025-03-11 12:33:09,S,s,METROAGMAIL (probabile sito di wallet ),145.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
